# sensor:magnetometer
# Requested Sample Rate: 80 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:09:14:965,-23.40,4.93,-44.68,50.67
12:09:14:975,-23.40,5.18,-45.31,51.26
12:09:14:985,-23.25,5.67,-44.76,50.76
12:09:15:005,-23.20,5.04,-44.88,50.78
12:09:15:015,-23.42,4.73,-45.10,51.04
12:09:15:025,-23.57,5.27,-44.66,50.78
12:09:15:035,-23.70,4.88,-45.10,51.19
12:09:15:055,-23.20,5.29,-45.52,51.37
12:09:15:065,-23.89,4.88,-44.46,50.70
12:09:15:075,-24.14,4.37,-45.75,51.91
12:09:15:085,-23.39,5.11,-44.68,50.69
12:09:15:105,-22.94,5.98,-44.97,50.83
12:09:15:115,-23.48,5.27,-45.30,51.30
12:09:15:125,-23.40,5.10,-44.88,50.87
12:09:15:135,-23.48,5.27,-45.20,51.21
12:09:15:155,-23.51,4.83,-44.47,50.53
12:09:15:165,-23.92,4.50,-45.12,51.26
12:09:15:175,-23.42,4.73,-45.10,51.04
12:09:15:185,-23.62,4.98,-45.74,51.72
12:09:15:205,-23.28,5.39,-44.87,50.84
12:09:15:215,-23.47,5.20,-44.46,50.54
12:09:15:225,-23.58,5.09,-44.57,50.68
12:09:15:235,-23.23,5.01,-45.63,51.45
12:09:15:255,-23.73,4.70,-45.32,51.37
12:09:15:265,-23.88,5.15,-44.98,51.18
12:09:15:275,-24.07,5.12,-44.88,51.19
12:09:15:285,-23.83,4.60,-45.10,51.22
12:09:15:305,-23.44,4.72,-45.32,51.24
12:09:15:315,-23.30,5.28,-45.52,51.41
12:09:15:325,-23.89,4.88,-44.68,50.90
12:09:15:335,-23.68,5.16,-44.98,51.10
12:09:15:355,-23.92,4.50,-44.79,50.97
12:09:15:365,-23.59,4.82,-44.25,50.38
12:09:15:375,-23.63,4.71,-45.32,51.33
12:09:15:385,-23.27,5.40,-44.55,50.55
12:09:15:405,-23.41,4.92,-45.10,51.05
12:09:15:415,-23.12,4.95,-44.79,50.64
12:09:15:425,-23.55,4.54,-45.12,51.09
12:09:15:435,-23.55,5.72,-45.19,51.28
12:09:15:455,-24.18,5.01,-45.31,51.60
12:09:15:465,-23.70,4.79,-44.79,50.90
12:09:15:475,-23.96,5.22,-45.09,51.33
12:09:15:485,-23.28,5.56,-45.73,51.61
12:09:15:505,-23.78,5.25,-45.30,51.43
12:09:15:515,-23.92,4.59,-45.10,51.26
12:09:15:525,-23.99,4.77,-44.57,50.84
12:09:15:535,-23.72,4.88,-45.42,51.47
12:09:15:555,-24.11,4.57,-44.90,51.16
12:09:15:565,-24.28,4.83,-44.57,50.98
12:09:15:575,-23.78,5.32,-45.73,51.81
12:09:15:585,-23.29,5.38,-45.41,51.32
12:09:15:605,-23.24,5.94,-45.29,51.25
12:09:15:615,-23.79,5.06,-45.20,51.33
12:09:15:625,-23.69,4.98,-44.99,51.09
12:09:15:635,-23.63,5.89,-45.40,51.52
12:09:15:655,-23.41,5.00,-45.42,51.34
12:09:15:665,-23.77,5.33,-45.30,51.43
12:09:15:675,-23.29,5.21,-44.99,50.93
12:09:15:685,-23.47,5.45,-45.30,51.31
12:09:15:705,-23.78,5.15,-45.20,51.33
12:09:15:715,-23.34,4.75,-45.10,51.01
12:09:15:725,-23.52,4.82,-44.99,51.00
12:09:15:735,-23.38,5.38,-44.98,50.98
12:09:15:755,-23.41,4.83,-44.79,50.77
12:09:15:765,-23.89,4.95,-45.10,51.28
12:09:15:775,-23.70,4.89,-44.88,50.99
12:09:15:785,-23.38,5.38,-44.77,50.79
12:09:15:805,-23.45,5.73,-45.40,51.42
12:09:15:815,-23.72,4.79,-45.10,51.18
12:09:15:825,-24.12,4.56,-45.42,51.63
12:09:15:835,-22.91,5.33,-45.41,51.14
12:09:15:855,-23.58,5.00,-44.46,50.57
12:09:15:865,-23.41,4.83,-44.90,50.86
12:09:15:875,-23.30,5.11,-44.88,50.83
12:09:15:885,-23.53,4.64,-44.90,50.90
12:09:15:905,-23.33,5.00,-45.63,51.49
12:09:15:915,-23.31,5.01,-45.10,51.02
12:09:15:925,-23.61,4.89,-45.10,51.14
12:09:15:935,-23.51,4.90,-45.10,51.10
12:09:15:955,-23.59,4.82,-44.15,50.29
12:09:15:965,-24.08,4.94,-44.77,51.08
12:09:15:975,-23.89,5.12,-45.73,51.84
12:09:15:985,-23.41,5.10,-45.42,51.35
12:09:16:005,-23.22,5.03,-44.99,50.88
12:09:16:015,-23.40,5.10,-45.20,51.15
12:09:16:025,-23.80,4.78,-44.99,51.13
12:09:16:035,-23.78,5.25,-45.20,51.34
12:09:16:055,-23.61,4.89,-44.99,51.05
12:09:16:065,-23.63,4.71,-45.32,51.33
12:09:16:075,-23.29,5.29,-45.30,51.21
12:09:16:085,-23.20,5.12,-44.88,50.79
12:09:16:105,-22.98,5.34,-44.46,50.33
